Time (s),Pitot Status Code,Differential Pressure,Temperature,Accel1 x,Accel1 y,Accel1 z,Gyro1 x,Gyro1 y,Gyro1 z,Mag1 x,Mag1 y,Mag1 z,Accel2 x,Accel2 y,Accel2 z,Gyro2 x,Gyro2 y,Gyro2 z,Mag2 x,Mag2 y,Ma2 z,Accel3 x,Accel3 y,Accel3 z,Gyro3 x,Gyro3 y,Gyro3 z,Mag3 x,Mag3 y,Mag3 z
18.182,Error ,1.25,-50,-1.71729,0.263672,0,335.938,226.563,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.187,Error ,1.25,-50,-1.71973,0.266602,0,304.688,234.375,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.192,Error ,1.25,-50,-1.71973,0.270508,0,296.875,234.375,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.197,Error ,1.25,-50,-1.7207,0.26123,0,320.313,203.125,0,-173,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.202,Error ,1.25,-50,-1.72119,0.266113,0,304.688,203.125,0,-173,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.207,Error ,1.25,-50,-1.72119,0.268555,0,281.25,242.188,0,85,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.212,Error ,1.25,-50,-1.72021,0.26709,0,281.25,226.563,0,85,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.217,Error ,1.25,-50,-1.71582,0.266602,0,328.125,218.75,0,85,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.222,Error ,1.25,-50,-1.72168,0.26709,0,320.313,218.75,0,85,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.227,Error ,1.25,-50,-1.71973,0.268555,0,312.5,242.188,0,90,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.232,Error ,1.25,-50,-1.7207,0.265625,0,312.5,210.938,0,90,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.237,Error ,1.25,-50,-1.71729,0.263672,0,312.5,226.563,0,88,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.242,Error ,1.25,-50,-1.71875,0.266113,0,320.313,242.188,0,88,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.247,Error ,1.25,-50,-1.72168,0.267578,0,320.313,210.938,0,74,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.252,Error ,1.25,-50,-1.72119,0.26709,0,328.125,234.375,0,74,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.257,Error ,1.25,-50,-1.72461,0.266602,0,296.875,234.375,0,86,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.262,Error ,1.25,-50,-1.72168,0.26416,0,320.313,210.938,0,86,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.267,Error ,1.25,-50,-1.72021,0.26416,0,320.313,218.75,0,81,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.272,Error ,1.25,-50,-1.71924,0.266602,0,312.5,203.125,0,81,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.277,Error ,1.25,-50,-1.72266,0.269043,0,304.688,218.75,0,-175,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.282,Error ,1.25,-50,-1.7207,0.268066,0,296.875,226.563,0,-175,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.287,Error ,1.25,-50,-1.72168,0.26416,0,312.5,218.75,0,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.292,Error ,1.25,-50,-1.71777,0.263184,0,320.313,226.563,0,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.297,Error ,1.25,-50,-1.71924,0.26416,0,328.125,226.563,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.302,Error ,1.25,-50,-1.71826,0.27002,0,281.25,218.75,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.307,Error ,1.25,-50,-1.72119,0.266602,0,304.688,210.938,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3119,Error ,1.25,-50,-1.72168,0.263672,0,312.5,226.563,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.317,Error ,1.25,-50,-1.72363,0.26416,0,312.5,226.563,0,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3219,Error ,1.25,-50,-1.71875,0.27002,0,312.5,234.375,0,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.327,Error ,1.25,-50,-1.72266,0.264648,0,328.125,218.75,0,-170,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3319,Error ,1.25,-50,-1.72119,0.268555,0,304.688,226.563,0,-170,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3369,Error ,1.25,-50,-1.7207,0.266113,0,328.125,210.938,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3419,Error ,1.25,-50,-1.72168,0.266113,0,312.5,218.75,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
